@relation First_trial_regression_before

@attribute Screen_num_7 numeric
@attribute Show_num_7 numeric
@attribute Money_num_7 numeric
@attribute Audience_num_7 numeric
@attribute 'Director Effect' numeric
@attribute 'Distributor Effect' numeric
@attribute Month numeric
@attribute Nationality numeric
@attribute 'Before grade' numeric
@attribute 'After grade' numeric
@attribute Age numeric
@attribute 'Actor Effect' numeric
@attribute Audience numeric

@data
24,80,176843100,20854,1,1,8,1,8.26,8.37,12,2,7118592
653,1463,755131000,79954,1,0,4,0,9.52,8.32,12,7,7074867
712,1814,922066800,113784,0,1,11,1,7.77,8.98,18,1,7071763
32,76,107227100,12711,0,1,7,1,7.57,8.05,12,1,7049643
345,1388,1265452400,146036,0,1,10,1,9.35,8.47,15,1,6965706
15,34,71783000,9628,0,1,6,1,9.59,7.11,15,1,6953800
895,2176,1392943500,176514,1,0,5,1,8.83,7.6,15,2,6878264
241,647,551275000,83405,1,1,7,1,9.31,7.73,15,2,6686912
13,24,31619000,4855,0,1,10,1,9.28,8.64,15,0,6654837
3,3,8116000,863,1,0,7,0,9.57,9.01,15,1,6396528
8,32,35157000,4685,0,1,8,1,9.1,9.21,18,0,6282774
15,63,113049000,14455,0,1,9,1,8.67,8.22,12,2,6246849
420,1087,373584000,50525,1,1,12,1,8.86,8.18,12,3,6136928
4,6,9528000,1251,0,1,7,0,9.59,8.74,15,1,6126488
30,59,50502000,6418,0,0,2,0,9.32,8.81,18,1,6125154
42,81,71015000,9223,0,1,6,1,9.45,8.99,12,0,6043458
6,20,482000,61,1,0,7,0,9.34,9.21,12,0,5926948
371,819,423130500,59207,0,0,12,0,9.61,8.33,12,1,5911890
18,84,122927000,17990,0,1,8,1,9.1,6.83,15,0,5602543
24,90,131574500,14943,0,1,8,1,8.23,8.4,12,1,5593551
314,1050,974499000,127256,0,1,7,1,7.63,8.26,15,1,5583596
7,8,36802000,2761,0,0,6,0,9.26,7.88,12,0,5546792
34,132,112274000,17882,0,1,2,1,9.19,8.87,15,2,5507106
13,51,86500000,12185,1,1,7,1,8.35,7.77,15,1,5496547
19,33,10005000,1021,0,0,11,0,8.89,7.64,12,0,5462953
1173,2755,1040855200,118546,0,0,10,0,9.29,8.71,12,0,5446379
19,39,65723000,7584,0,1,11,1,8.46,8.31,15,2,5440945
26,72,134384000,14012,1,1,1,1,8.54,8.09,15,0,5316015
202,786,519398500,68509,0,1,10,1,9.51,8.77,12,2,5310510
10,14,47384000,3864,1,1,6,0,6.18,6.6,12,0,5295801
12,17,18812000,3348,0,1,6,0,9.29,8.2,15,0,5237525
323,1142,891929500,121532,0,1,12,1,7.87,8.05,12,2,5181014
4,7,26903000,2493,0,0,3,0,8.8,8.8,7,0,5137995
19,43,46469500,7067,1,1,2,1,7.5,9.08,18,2,5071619
0,0,-15805292400,0,0,1,5,0,9.46,8.73,7,0,5062722
2,12,22120000,2534,0,0,7,0,9.55,9.06,7,0,4968687
19,98,149533000,20893,0,1,8,1,9.54,7.59,12,0,4897551
16,42,95633000,10011,0,0,10,0,9.6,8.41,12,0,4875494
7,23,47662000,5356,1,0,6,0,9.03,7.76,12,0,4853123
26,68,48982000,6198,0,0,11,1,9.8,9.23,7,0,4801355
25,90,86510000,13353,0,1,1,1,9.09,8.13,12,1,4786259
44,72,102601000,13964,1,1,7,1,9.28,6.92,15,2,4774895
26,57,71555000,11076,1,1,2,1,9.31,8.59,18,2,4710454
22,43,88483000,10460,0,0,2,0,9.72,9.35,7,0,4703245
478,1384,704827600,80680,0,0,6,0,9.22,8.93,12,0,4697142
13,35,73105000,9191,0,1,2,1,8.99,8.89,18,3,4682492
4,11,14481000,2071,0,1,6,0,9.46,8.73,7,0,4673009
3,8,29634000,2484,1,0,11,0,9.56,8.22,12,0,4666990
232,843,831153000,102324,1,1,9,1,9.23,9.26,18,1,4662822
278,1104,764197000,97689,0,1,5,1,9.13,8.55,15,1,4598583
28,78,153855000,18372,1,1,12,1,8.14,8.39,12,0,4571145
8,15,14689000,2567,0,1,5,0,8.91,8.18,15,0,4568891
247,1875,998298500,147107,0,0,9,0,8.96,8.44,12,1,4554785
7,27,30637000,4236,1,1,7,1,7.8,7.23,15,0,4513026
14,33,44586000,5951,1,1,4,0,9.23,7.36,12,3,4498335
2,4,15632000,1160,1,0,7,0,9.6,9.31,7,0,4400298
9,13,19460000,2780,1,1,4,0,9.67,8.85,12,2,4316003
720,1738,752471200,91295,0,0,5,0,9.16,8.87,12,0,4313871
348,854,370238500,55577,0,0,6,1,9.43,8.53,15,1,4300670
30,55,96897200,10768,0,1,6,1,7.9,7.08,18,2,4277071
7,12,36876000,3203,1,0,4,0,9.03,7.76,12,0,4168350
7,15,16263000,2327,0,1,5,0,9.66,7.42,12,1,4136101
23,92,148085000,19615,0,1,12,1,9.28,8.35,15,1,4131248
282,1354,640981000,85077,0,1,3,1,9.02,8.65,12,0,4110645
1,3,693000,106,0,0,7,0,8.67,5.7,12,0,4090795
200,483,280886000,43722,0,1,4,1,8.52,8.28,12,0,4088799
316,797,405784000,60283,1,0,8,0,9.69,9.32,15,0,4087355
17,86,113856000,14333,1,1,1,1,8.52,8.88,12,1,4057546
26,91,112603000,15688,0,0,1,1,9.3,8.59,7,0,4044582
2,4,10464000,990,0,0,7,0,8.88,8.53,12,0,4002134
28,84,128406100,16803,1,0,9,1,4.38,7.29,18,1,4001813
4,11,26183000,2455,0,1,1,0,9.36,8.63,7,0,3984812
2,3,13282000,932,0,0,3,0,9.34,8.91,15,3,3963220
14,40,74221000,10240,0,1,1,1,8.97,8.09,15,0,3893216
14,34,64359000,8202,0,1,2,1,8.46,7.67,12,1,3872015
25,35,42921000,6366,0,1,4,1,9.05,7.06,15,0,3849433
18,19,52216000,3958,0,0,5,0,8.92,8.75,15,0,3842441
16,75,73094000,15739,0,1,12,1,9.13,7.21,18,0,3779553
460,3594,1857494000,272700,0,1,9,1,8.9,8.3,15,0,3726134
1,2,5636000,503,0,0,4,0,9.48,8.97,15,0,3653238
1,2,8401000,553,0,0,6,0,9,7.29,15,0,3628858
275,700,641457500,74239,0,0,1,0,9.56,8.76,12,0,3616241
27,42,36469000,4306,0,0,9,0,9.54,8.97,12,1,3610642
21,47,83778000,11054,0,0,2,1,9.69,9.16,15,0,3586523
248,1320,682543500,84003,0,0,10,0,9.26,9.06,12,0,3579666
504,1320,589721700,73945,0,1,7,1,8.82,8.04,18,0,3562123
12,18,51320000,5172,0,0,12,0,9.12,8.59,12,0,3504990
9,83,122953000,18184,0,1,1,1,8.74,8.92,15,0,3450941
107,300,186449000,26472,1,1,5,1,9.57,9,15,1,3450143
24,46,73168000,9215,0,0,8,0,9.59,9.02,15,0,3427464
31,128,151923000,25297,0,1,9,1,9.38,8.77,15,0,3423920
21,38,25759000,3197,0,1,7,1,8.99,6.99,18,1,3408144
249,1181,1008911000,134785,0,1,6,1,5.6,8.23,12,0,3385706
4,22,50836000,5560,0,0,5,0,9.55,8.15,12,0,3379762
123,414,190298000,26340,0,0,12,0,9.62,9.15,15,0,3375735
827,3076,1607496900,186267,0,0,2,0,9.25,8.21,18,0,3317196
7,9,33417500,2500,0,0,12,0,9.02,7.78,12,0,3273879
1,1,4764000,397,0,0,4,0,9.71,9.11,15,0,3247558
2,2,9990000,999,0,1,7,0,7.34,7.71,15,0,3239371
8,10,40365000,2613,0,0,10,0,9.26,8.27,12,0,3227452
9,12,40676000,2670,0,0,5,0,9.56,8.1,12,0,3130046
179,625,479273500,60106,0,1,7,1,8.1,7.87,15,0,3125069
325,1067,947094000,126800,0,0,8,1,7.83,7.08,15,0,3119023
653,3431,2552664500,303125,0,1,7,0,8.8,8.33,12,0,3100113
12,54,31337500,4308,0,1,1,1,9.56,9.06,12,0,3068544
22,46,10911000,1644,0,1,6,1,9.02,8.43,15,1,3059812
4,5,19295000,1859,0,0,5,0,9.58,8.35,12,0,3045283
58,167,156809500,18501,0,1,3,1,9.04,7.66,15,0,3044134
1,2,6509000,652,0,0,10,0,9.47,8.4,12,0,3039889
21,37,37966500,6264,0,1,6,1,8.4,7.33,18,0,3035116
12,33,48870000,7050,1,1,5,1,9.56,7.98,18,0,3013523
3,6,9389000,1337,0,1,7,0,8.79,8,15,1,3004647
0,0,0,0,1,0,7,0,9.58,6.82,7,0,3002669
29,61,45664000,7826,0,1,12,1,9.4,8.55,12,1,3001530
16,28,48836000,4029,0,1,7,0,9.75,8.93,7,0,3000056
46,99,163375000,20515,0,1,11,1,9.32,8.36,12,0,2982022
11,43,52496000,8124,0,1,11,1,7.54,6.24,18,0,2971475
30,108,164193000,25561,0,0,11,1,5.89,6.36,15,0,2963449
2,8,3134000,417,0,0,1,1,9.29,8.69,7,0,2962897
182,616,591470000,73808,0,1,7,1,6,8.63,15,2,2945137
7,21,53716000,4457,0,0,5,0,9.1,8.21,12,0,2938818
871,2563,861587800,108154,0,1,3,1,9.08,7.62,18,0,2931897
446,871,312003500,41359,0,0,7,0,8.8,7.7,15,0,2921331
20,127,132173000,19647,0,1,12,1,9.15,8.86,12,0,2897477
277,831,410523500,61017,0,0,6,0,10,8.23,18,0,2867594
18,37,50059000,6663,0,1,6,1,8.75,8.08,15,2,2860786
18,34,59479000,7010,0,1,4,1,9.15,7.5,15,1,2841788
3,5,26192000,1778,0,0,9,0,8.93,8.61,12,0,2839921
8,11,24626000,2295,0,0,12,0,9.61,8.47,12,0,2836774
2,4,13534000,1060,0,0,12,0,9.72,8.42,12,0,2818993
7,24,40113000,5216,0,0,9,0,9.38,8.09,12,0,2812427
2,3,0,0,1,0,12,0,9.44,8.2,7,0,2809053
25,191,108040500,9606,0,0,1,0,7.76,9.11,7,0,2801949
251,1073,936229500,120984,0,0,8,0,8.98,8.76,12,0,2773794
27,45,4253000,767,1,1,10,1,9.5,8.66,18,2,2766436
17,44,77855000,8833,0,0,9,0,9.38,8.08,12,0,2744413
1033,2568,1244337700,148489,0,0,5,0,9.38,8.94,12,0,2735722
252,1980,551682000,77282,0,1,9,1,9.17,8.73,12,0,2731828
2,4,2011000,292,0,0,7,0,9.54,7.32,12,0,2723518
214,688,477992500,62074,0,1,11,1,9.04,8.49,18,0,2721903
7,22,32192500,4736,0,1,8,0,9.38,8.03,12,0,2718227
5,17,25281000,3209,0,0,9,0,9.55,8.46,12,1,2718158
24,101,80087000,17040,0,1,1,0,9.05,7.04,15,0,2713031
295,905,456862500,61632,0,1,8,0,8.82,7.65,15,1,2706748
2,4,437000,56,0,0,4,0,8.98,6.29,12,0,2685508
78,239,279519000,48186,0,1,10,1,9.45,9.32,12,1,2663170
4,7,11964000,1751,0,1,11,0,9.48,8.71,15,0,2654817
49,200,209551500,24775,0,1,9,1,8.43,8.48,15,0,2625686
6,13,16578000,2053,0,0,7,0,9.4,7.94,7,0,2625572
407,1179,606693500,87465,0,1,6,1,7.3,6.79,18,0,2621436
1,2,4347000,555,0,0,7,0,9.77,8.39,15,0,2611966
112,364,683701000,63816,0,1,5,0,9.05,9.33,7,0,2603857
7,8,23885000,2654,0,0,7,0,9.65,8.52,7,0,2601734
333,2095,1018374000,137323,0,1,3,1,8.85,6.69,12,0,2595625
44,122,221369000,24846,0,1,9,1,8.32,6.26,18,2,2594028
9,38,42848000,5714,0,1,10,1,8.83,6.68,7,0,2583294
31,123,189085900,22154,0,1,5,1,8.23,7.95,15,1,2570850
477,1409,496926100,63883,0,1,12,1,8.84,7.14,15,0,2564340
4,7,32394000,2085,0,0,7,0,8.55,7.65,12,0,2539114
347,801,209201500,27764,0,0,6,0,8.78,9.05,12,0,2532306
5,24,71624000,6872,1,0,6,0,9.53,8.45,12,1,2532051
11,16,31412000,3370,0,0,8,0,9.48,8.58,7,0,2517805
34,98,148567200,18203,0,1,2,1,8.92,8.05,15,1,2512572
265,829,429790000,62365,0,1,12,1,9.15,8.57,15,0,2471721
4,9,17776000,2222,0,1,5,0,9.39,8.67,7,0,2447241
13,36,47879500,6386,0,0,3,1,9.34,7.9,15,0,2435211
25,40,48759000,8131,0,1,8,1,9.48,7.51,18,0,2434099
15,63,97484000,13133,0,0,2,1,9.31,8.5,15,0,2420729
224,788,599474500,77796,0,1,9,1,9.35,8.01,15,1,2393086
8,31,54415000,7632,0,1,10,1,9.24,7.82,18,2,2391963
6,17,5940000,840,0,0,4,0,9.08,9.2,18,0,2379830
2,4,6991000,987,0,0,10,0,9.13,7.85,15,0,2376145
228,819,669774500,85209,0,1,9,1,5.34,4.13,15,0,2363955
91,325,260050000,33848,0,1,8,1,8.9,8.09,18,0,2362906
7,38,36807000,6171,0,1,11,1,7.23,6.26,18,0,2325715
1,2,196000,26,0,1,12,1,8.83,6.26,12,0,2316099
69,136,116309000,13198,0,0,5,0,9.38,8.77,15,0,2315882
16,23,40756000,5083,0,0,1,0,9.44,9.14,7,0,2310054
11,12,18258000,2604,0,0,9,0,9.59,6.98,18,0,2308596
5,24,38219000,5176,0,0,5,1,8.04,5.61,18,1,2304487
3,3,12318000,798,0,0,12,0,9.72,8.48,12,0,2282744
297,818,172685500,22819,0,0,6,0,8.85,8.35,15,0,2282191
22,49,45035000,5783,0,0,9,0,8.01,7.85,15,0,2262758
0,0,0,0,0,1,7,0,8.97,8.03,7,0,2261356
7,24,26157000,3739,0,1,10,0,9.26,7.96,12,1,2258369
392,408,165627800,18850,0,0,3,0,8.47,6.88,12,0,2256913
329,755,319209500,43322,0,0,4,0,8.98,7.48,12,0,2241687
9,12,20856000,2607,0,0,12,0,9.24,8,15,1,2239156
8,15,19776000,2546,0,1,4,1,7.92,6.09,18,1,2237271
36,109,120563500,14629,0,1,8,1,6.56,3.34,15,0,2232179
2,3,228000,29,0,0,12,0,8.87,8.19,12,1,2207751
2,5,302000,44,0,0,11,0,9.4,7.07,15,0,2201300
271,1268,362042000,60626,0,1,7,1,9.15,8.88,7,1,2199048
22,65,105452000,12711,0,1,5,1,8.45,7.64,15,0,2192243
12,48,93249100,10822,0,1,1,1,9.31,7.13,18,0,2192172
1,4,5564000,428,0,0,3,0,9.5,7.51,7,1,2182365
2,3,13934000,932,0,0,6,0,9.33,7.84,12,0,2182227
12,19,35889000,5127,1,0,12,1,8.97,7.78,18,2,2167426
7,22,52250000,6925,0,1,11,1,9.34,6.67,15,1,2164805
4,11,17108000,2140,0,1,9,1,9.74,7.03,12,0,2160265
7,9,32102000,3316,0,0,5,0,8.49,7.75,12,0,2153110
9,44,60793000,7574,0,0,12,1,7.25,7.15,15,0,2142622
81,212,100795500,12831,0,0,10,1,9.17,8.02,15,0,2135614
1,1,2192000,274,0,0,5,0,8.22,8.22,15,0,2128574
4,5,20871000,1839,1,1,6,0,8.09,6.45,12,0,2125662
56,153,264500600,31562,0,1,6,1,9.39,8.1,15,1,2108273
14,20,41940000,5790,0,1,7,0,9.42,7.4,12,0,2105050
15,42,76428000,10506,0,1,5,1,8.8,8.54,15,0,2095375
24,36,21803000,3266,0,1,2,0,9.45,8.59,15,0,2084457
3,7,8530000,1082,0,1,12,1,0,9.03,18,1,2083999
30,87,71749000,13837,0,1,12,1,8.71,8.52,18,0,2080574
432,2211,322181500,36284,0,1,1,0,9.43,8.41,7,0,2080154
7,20,19979500,2839,0,0,8,0,9.02,8.23,12,0,2078492
831,2240,800097500,99025,0,0,3,0,9.1,9.04,18,0,2070084
436,3721,992835000,154872,0,1,7,1,8.84,7.89,15,0,2058764
81,237,261802000,29229,0,1,8,1,5.65,7.71,12,0,2053947
15,66,104223000,12393,0,1,7,1,8.82,7.72,12,0,2044564
9,24,38122000,4945,0,1,3,0,9.3,6.08,15,0,2026574
4,9,20836000,2566,0,0,1,0,8.61,7.79,15,0,2007180
2,4,4536000,567,0,0,5,0,9.24,8.68,12,0,2003533
312,896,133764000,20817,0,0,6,0,9.56,7.48,7,0,2002526
11,29,46665000,6982,0,1,1,1,9.07,8.64,15,1,1979311
5,10,28626000,3056,0,0,9,0,7.99,7.05,18,2,1971837
42,160,200797000,25108,0,1,12,0,9.45,6.6,12,0,1949027
101,105,18803000,3094,0,0,5,0,9.3,8.15,15,0,1936321
4,12,23210000,2628,0,0,6,0,8.94,8.24,15,0,1926201
224,795,514811000,73339,0,1,7,0,8.96,9.05,7,1,1923748
22,76,42678000,7169,0,0,9,1,9.26,8.76,15,0,1922634
19,75,62092000,14071,0,1,4,1,6,7.34,15,2,1914779
9,10,21274000,2142,0,0,8,0,7.69,7.03,15,0,1898121
9,35,66570000,7684,0,1,1,1,9.28,6.66,15,0,1891993
15,59,41506000,9958,0,1,1,1,9.15,8.85,7,1,1888100
2,5,106000,14,0,0,2,0,9.19,6.47,12,0,1877226
25,89,96941500,14964,0,0,9,1,7.8,7.56,15,2,1873327
14,73,80463000,14969,0,1,3,1,8.62,7.42,18,0,1865195
222,1497,967565000,129489,0,1,2,1,9.35,7.87,15,1,1864408
502,1688,1013909000,145627,0,0,1,0,8.9,7.87,15,0,1860934
17,93,129039000,17817,0,1,5,1,8.41,8.55,12,0,1857392
4,8,29155000,2315,0,1,3,0,8.79,7.06,15,1,1855917
14,56,60858000,10389,0,1,12,1,7.48,8.81,15,0,1854625
12,28,14196000,2028,1,1,8,1,8.84,7.81,18,2,1848418
42,101,117302000,19494,0,1,12,1,8.79,8.21,18,0,1823116
25,50,67167900,7328,0,0,5,1,8.33,8.93,12,0,1820920
5,8,14400000,1601,0,0,11,0,9.21,7.04,15,0,1820842
32,129,110178500,19988,0,1,7,1,8.25,7.58,12,0,1799356
6,14,24226000,3520,0,0,1,0,9.27,8.15,12,0,1798205
12,48,57064500,6249,0,0,5,0,9.68,8.82,15,0,1790457
6,21,20909000,3132,0,1,10,1,7.98,5.04,18,1,1788748
1,2,159000,24,0,0,2,0,9.21,8.86,12,0,1767051
7,29,51708000,6386,0,1,10,1,9,7.17,15,1,1766285
19,31,45584100,5137,0,0,10,0,9.09,8.28,18,0,1764233
27,92,154411000,19064,0,1,12,1,8.28,8.01,12,1,1762742
1,3,1864000,308,0,0,1,0,8.74,5.72,7,0,1762070
21,33,36185500,4417,0,0,2,0,8.98,8.77,15,0,1743774
27,142,173524000,28572,0,1,4,1,8.29,7.61,18,1,1737253
25,104,153649500,21156,0,0,10,1,8.57,8.33,12,0,1735640
9,24,45330000,5897,0,0,12,0,9.41,8.96,7,1,1729424
25,61,84800000,12819,0,1,2,1,9.45,6.66,15,1,1726202
5,18,25863000,3392,0,1,3,0,9.51,9.33,12,0,1719772
10,33,29240000,6240,0,1,1,1,8.19,7.77,12,1,1717566
7,11,27997000,2778,0,0,6,0,8.85,7.62,12,0,1714071
25,111,151935000,23386,0,1,3,1,9.28,8.23,15,2,1713891
25,66,95962000,11447,0,1,2,1,2.95,6.05,15,1,1707487
408,2324,554159500,87040,0,1,7,1,9.1,7.8,15,0,1706576
1,2,16000,2,0,1,4,0,8.82,7.29,12,1,1694529
22,57,70396000,11732,0,1,9,1,8.35,6.94,15,0,1690294
8,16,49055000,5018,0,0,3,0,8.45,7.78,12,1,1685933
6,9,14999000,2144,0,0,2,0,9.32,6.91,15,1,1685405
22,43,58912000,8566,0,1,1,1,9.38,7.6,15,0,1676040
1,1,2192000,274,0,0,2,0,8.65,7.67,15,0,1675798
9,18,33509000,3752,0,1,12,0,9.63,8.68,7,0,1661230
6,13,28636000,2715,0,0,7,0,9.63,8.28,7,0,1648070
14,20,40106000,5108,0,0,8,1,9.59,7,18,1,1646142
137,490,237749500,32275,1,1,2,1,9.62,9.34,15,0,1640351
25,94,132977100,16380,0,1,4,1,8.62,7.76,12,0,1634403
225,1579,555836500,93797,0,0,8,1,8.69,6.82,15,0,1634051
187,752,447293000,42373,0,1,6,0,9.05,9.03,7,0,1626704
0,0,0,0,0,0,2,0,9.32,8.66,18,0,1623199
0,0,0,0,0,0,4,0,9.46,8.97,15,0,1621973
6,19,18611000,2335,0,1,1,1,10,7.56,15,1,1613728
62,149,97919000,15982,0,0,3,1,9.58,8.34,12,0,1613392
26,31,25992000,4880,0,1,2,1,8.73,6.79,15,1,1612554
36,96,103682600,13610,0,1,9,1,5.61,7.05,12,1,1611519
406,1926,744050500,96414,0,1,5,0,9.42,8.97,12,0,1605271
3,5,208000,26,0,0,5,0,9.06,7.22,15,0,1596574
37,88,164123000,18634,0,1,10,1,9.25,6.87,15,0,1593694
2,4,21368000,1448,0,0,3,0,8.48,7.18,18,0,1593116
4,18,58075000,5090,0,0,1,0,9.19,8.81,7,0,1588373
413,2489,440912000,68373,0,0,12,0,8.85,4.6,12,0,1576333
8,33,37051000,6238,0,1,7,0,7.68,6.79,15,0,1573621
256,643,143004000,19889,0,1,9,1,7.54,5.61,15,0,1571432
153,505,158889500,28514,0,0,1,1,8.02,7.99,12,0,1562486
45,266,248857400,32040,0,1,3,0,9.38,8.77,15,0,1561815
28,71,85154000,13690,0,1,10,1,9.93,7.66,15,1,1552055
7,23,21602000,3430,0,1,1,1,6.52,5.88,15,0,1534911
40,103,64252000,14108,0,1,2,1,9.2,8.57,15,0,1534407
6,14,21170000,3637,0,1,12,0,9.51,8.19,7,0,1521842
3,3,4886000,698,0,0,4,0,9.3,8.22,15,0,1515356
8,22,31267000,4469,0,0,12,0,9.43,8.59,7,0,1515104
6,12,41318000,3545,0,0,12,0,9.04,7.08,12,0,1511145
237,833,453717000,64666,0,1,12,1,9.43,8.93,12,0,1507084
7,7,35639000,2307,0,0,6,0,9.22,7.31,12,0,1500830
2,5,2122000,354,0,0,1,1,10,7.41,15,0,1496214
4,11,11206000,862,0,0,8,0,9.58,9.37,7,0,1484843
2,7,3298000,472,0,0,5,0,9.6,8.64,7,0,1478573
22,39,55542500,6348,0,0,4,1,8.33,6.94,18,1,1472006
18,54,102081300,12091,0,1,8,1,9.01,6.84,18,1,1466830
264,1042,741255500,94660,0,1,11,0,9.61,6.99,15,0,1462280
10,27,50649000,4508,0,1,8,0,7.79,8.66,7,0,1452872
2,2,7020000,540,0,0,5,0,9.26,8.31,15,0,1445124
10,18,34793000,4679,0,1,5,1,7.82,6.68,18,0,1441964
6,50,43866000,9920,0,1,12,0,9.44,7.84,7,0,1438353
7,11,18118000,2166,0,0,2,0,8.49,7.14,15,0,1438056
24,53,75373500,9080,0,1,5,1,8.45,7.75,15,0,1426873
12,44,71733000,10033,0,0,4,1,9.17,7.78,15,0,1416053
22,44,58231000,9441,0,0,4,1,8.9,6.85,15,1,1407681
1,2,94000,14,0,0,12,0,9.44,8.86,15,0,1402609
380,1005,160209400,20387,0,1,9,0,8.08,8.28,12,0,1399771
1,1,4279000,389,0,0,5,0,9.57,8.22,12,0,1397526
2,5,3414000,428,0,1,8,0,8.49,4.74,7,0,1394110
9,12,15836000,2529,0,1,2,0,8.71,7.44,15,0,1373873
21,57,73544600,8631,0,1,4,1,8.62,7.45,15,3,1362634
10,17,40884000,4817,0,0,11,0,9.21,8.64,15,1,1362114
17,83,80796000,16834,0,1,12,0,9.53,7.85,12,0,1356180
24,58,105691500,13212,0,1,5,1,9.09,7.46,15,0,1346754
11,25,26182000,4655,0,1,4,1,8.33,7.1,18,0,1346274
1,2,840000,105,0,0,11,0,9.05,7.89,18,0,1345025
384,985,303874000,33542,0,1,11,0,7.88,6.38,18,0,1338411
31,80,169123000,19523,0,1,7,1,8.52,7.76,12,0,1328890
3,5,10462000,1270,0,0,1,0,9.13,8.78,7,0,1328394
0,0,0,0,0,0,10,0,8.74,7.97,15,0,1321751
8,36,31689000,4928,0,1,11,1,8.91,6.02,15,0,1321005
51,54,24898500,3676,0,0,8,0,9.26,9.37,7,0,1320830
2,3,13648000,1005,0,0,7,0,9.4,8.55,12,0,1311190
11,27,27742000,4885,0,1,9,1,9.57,7.18,15,1,1310895
0,0,0,0,0,0,3,0,8.74,7.53,12,0,1307873
240,754,111830000,16579,0,0,9,1,9.1,8.86,18,0,1307688
2,7,19675000,1843,0,0,5,0,9.26,8.18,15,0,1305826
321,1476,215729000,33289,0,0,4,0,9.07,8.22,12,0,1303452
0,0,0,0,0,0,1,0,9.66,7.15,12,0,1278894
39,83,79478000,15333,0,1,7,1,8.54,9.23,7,0,1277800
28,48,79619000,10343,0,0,5,0,9.06,8.97,12,0,1277301
1,2,1552000,196,0,1,1,0,9.46,7.89,7,0,1247015
13,47,76636000,11162,0,1,4,1,8.81,6.87,18,0,1246185
8,29,14522000,2127,0,1,1,0,8.97,8.09,7,0,1240953
19,198,172211000,27409,0,1,3,1,8.04,7.55,15,0,1233582
13,38,47769500,5504,0,0,9,0,8.82,7.7,7,0,1231024
267,853,186799500,26381,0,1,10,1,9.42,6.83,18,0,1228673
35,186,266521000,32749,0,1,6,1,8.85,8.29,15,0,1225142
9,26,37570000,4631,0,1,2,1,8.29,7.51,15,0,1221420
4,8,1135000,187,0,0,4,0,9.47,7.33,12,0,1221352
14,49,75067500,7450,0,0,8,0,9.59,7.26,15,0,1219637
50,151,166080500,25534,0,0,11,1,8.86,7.04,15,0,1212270
225,582,205231000,16211,0,0,9,0,8.97,6.28,18,0,1209538
9,13,20884000,2546,0,0,8,0,9.01,7.21,18,0,1207732
11,45,26557000,4099,0,0,4,1,9.01,8.01,15,0,1206101
