@relation 'First trial'

@attribute ﻿Screen_num_7 numeric
@attribute Show_num_7 numeric
@attribute Money_num_7 numeric
@attribute Audience_num_7 numeric
@attribute 'Director Effect' numeric
@attribute 'Distributor Effect' numeric
@attribute Month numeric
@attribute Date numeric
@attribute Nationality numeric
@attribute 'Before grade' numeric
@attribute 'After grade' numeric
@attribute Age numeric
@attribute 'Actor Effect' numeric
@attribute Audience numeric

@data
9039,44100,37648256000,3819368,1,1,6,29,0,9.49,7.07,12,1,7784807
6886,34414,14238589840,1843219,1,1,12,16,1,8.17,7.98,12,1,7759473
6181,30014,16886285500,2252249,0,1,12,15,0,9.18,8.73,15,1,7575899
7123,34572,22954987000,3437058,1,1,6,24,0,7.72,8.11,12,1,7505700
9239,42999,21154461727,2640612,1,0,9,7,1,8.75,8.41,15,2,7487545
3738,19164,13639359000,1811568,1,1,8,10,1,8.63,7.95,15,1,7466976
2737,13206,6556724500,889495,1,1,5,4,1,9,9.11,15,1,7328820
5067,28144,17323966121,2373119,1,1,1,30,1,8.83,7.81,15,2,7166199
10115,47892,28345699609,3478704,1,1,12,21,1,8.59,8.11,15,3,7147879
6786,31715,28376367367,3491718,1,1,8,10,1,8.26,8.37,12,2,7118592
5700,28727,19836549500,2254773,1,0,4,26,0,9.52,8.32,12,7,7074867
6297,32117,15990202360,2036106,0,1,11,19,1,7.77,8.98,18,1,7071763
6810,36938,27544403527,3559004,0,1,7,27,1,7.57,8.05,12,1,7049643
6724,35249,19345192248,2393535,0,1,10,13,1,9.35,8.47,15,1,6965706
8006,39342,27064168683,3855101,0,1,6,5,1,9.59,7.11,15,1,6953800
8552,38372,21667572182,2671064,1,0,5,12,1,8.83,7.6,15,2,6878264
5157,26412,17548983500,2687247,1,1,7,17,1,9.31,7.73,15,2,6686912
4522,22462,11593121500,1626611,0,1,10,31,1,9.28,8.64,15,0,6654837
7472,32789,23504445000,3196268,1,0,7,19,0,9.57,9.01,15,1,6396528
3139,16880,9787697500,1283971,0,1,8,4,1,9.1,9.21,18,0,6282774
8215,45269,16344210979,2076522,0,1,9,16,1,8.67,8.22,12,2,6246849
3700,21207,14293142500,1973283,1,1,12,23,1,8.86,8.18,12,3,6136928
7905,40544,28165479484,3560835,0,1,7,30,0,9.59,8.74,15,1,6126488
4342,19337,7974421100,981068,0,0,2,11,0,9.32,8.81,18,1,6125154
5968,27188,14158740159,1854557,0,1,6,24,1,9.45,8.99,12,0,6043458
3514,17420,11807827500,1562176,1,0,7,21,0,9.34,9.21,12,0,5926948
4125,16656,13272154000,1810745,0,0,12,19,0,9.61,8.33,12,1,5911890
4968,26372,18199732500,2577639,0,1,8,14,1,9.1,6.83,15,0,5602543
6056,25630,17239805779,2179122,0,1,8,3,1,8.23,8.4,12,1,5593551
4694,27409,14689191717,2068891,0,1,7,31,1,7.63,8.26,15,1,5583596
8143,43941,19639783983,2225397,0,0,6,11,0,9.26,7.88,12,0,5546792
3801,23319,8928660000,1203867,0,1,2,4,1,9.19,8.87,15,2,5507106
5922,32268,15552392776,2149996,1,1,7,3,1,8.35,7.77,15,1,5496547
4978,23419,14987115500,2078601,0,0,11,12,0,8.89,7.64,12,0,5462953
9005,56541,21215906889,2474255,0,0,10,26,0,9.29,8.71,12,0,5446379
6693,37504,17249067654,2167911,0,1,11,5,1,8.46,8.31,15,2,5440945
8383,39331,17535310729,2145115,1,1,1,18,1,8.54,8.09,15,0,5316015
3151,17097,5192218000,721279,0,1,10,20,1,9.51,8.77,12,2,5310510
10629,48712,24915320900,2959271,1,1,6,25,0,6.18,6.6,12,0,5295801
6052,32529,15584902000,2101277,0,1,6,20,0,9.29,8.2,15,0,5237525
3868,19994,12874397500,1771525,0,1,12,25,1,7.87,8.05,12,2,5181014
9744,45444,16405922849,1971046,0,0,3,16,0,8.8,8.8,7,0,5137995
2767,14670,6361579000,951230,1,1,2,14,1,7.5,9.08,18,2,5071619
5632,33757,17561436000,1950979,0,1,5,26,0,9.46,8.73,7,0,5062722
4299,18777,7938381705,1017822,0,0,7,9,0,9.55,9.06,7,0,4968687
4220,20691,12496528500,1770211,0,1,8,8,1,9.54,7.59,12,0,4897551
7423,34828,17501648661,2164343,0,0,10,8,0,9.6,8.41,12,0,4875494
7200,36567,19045737700,2147566,1,0,6,28,0,9.03,7.76,12,0,4853123
1337,3674,732004900,94002,0,0,11,27,1,9.8,9.23,7,0,4801355
3556,15070,9477253000,1258858,0,1,1,27,1,9.09,8.13,12,1,4786259
9091,46085,28169286788,3615992,1,1,7,23,1,9.28,6.92,15,2,4774895
4477,20353,11752508000,1518700,1,1,2,2,1,9.31,8.59,18,2,4710454
4215,14592,4060416300,540284,0,0,2,17,0,9.72,9.35,7,0,4703245
4646,25898,16803446417,2011525,0,0,6,4,0,9.22,8.93,12,0,4697142
4450,20693,11093049755,1494319,0,1,2,21,1,8.99,8.89,18,3,4682492
3458,21170,9623612500,1485819,0,1,6,5,0,9.46,8.73,7,0,4673009
9035,43959,19082960965,2233649,1,0,11,16,0,9.56,8.22,12,0,4666990
3644,17620,9575163000,1257950,1,1,9,22,1,9.23,9.26,18,1,4662822
3397,16282,6809465000,917278,0,1,5,17,1,9.13,8.55,15,1,4598583
7689,35069,13882926710,1748627,1,1,12,7,1,8.14,8.39,12,0,4571145
4329,25233,13473146500,2042053,0,1,5,21,0,8.91,8.18,15,0,4568891
2688,16235,4417965000,670409,0,0,9,3,0,8.96,8.44,12,1,4554785
4534,23216,13631106664,1907832,1,1,7,5,1,7.8,7.23,15,0,4513026
5588,30553,19330790000,2618890,1,1,4,29,0,9.23,7.36,12,3,4498335
4848,26143,16311634000,2062921,1,0,7,13,0,9.6,9.31,7,0,4400298
3749,20937,12110338000,1875824,1,1,4,30,0,9.67,8.85,12,2,4316003
6002,29551,16146824100,1992252,0,0,5,22,0,9.16,8.87,12,0,4313871
3908,21313,11700361000,1762186,0,0,6,19,1,9.43,8.53,15,1,4300670
7723,35444,19460172510,2345745,0,1,6,1,1,7.9,7.08,18,2,4277071
8535,41048,16114612900,1882994,1,0,4,23,0,9.03,7.76,12,0,4168350
4587,25683,13083782500,2010446,0,1,5,22,0,9.66,7.42,12,1,4136101
5397,24139,14004864500,1945835,0,1,12,24,1,9.28,8.35,15,1,4131248
3664,19099,5876343000,792688,0,1,3,22,1,9.02,8.65,12,0,4110645
3911,24264,16123551500,2515754,0,0,7,30,0,8.67,5.7,12,0,4090795
2811,16749,5425020500,809187,0,1,4,22,1,8.52,8.28,12,0,4088799
2725,14593,8573620000,1304060,1,0,8,6,0,9.69,9.32,15,0,4087355
3337,16063,9346871500,1210391,1,1,1,18,1,8.52,8.88,12,1,4057546
2681,14672,6425353000,987385,0,0,1,10,1,9.3,8.59,7,0,4044582
6029,29874,15479375172,1951545,0,0,7,10,0,8.88,8.53,12,0,4002134
5873,24778,16931603877,2043570,1,0,9,3,1,4.38,7.29,18,1,4001813
8244,46577,14590412220,1858679,0,1,1,28,0,9.36,8.63,7,0,3984812
7166,34839,13288133553,1681218,0,0,3,26,0,9.34,8.91,15,3,3963220
3524,16180,9580049500,1307807,0,1,1,9,1,8.97,8.09,15,0,3893216
5379,26901,9313332249,1190932,0,1,2,11,1,8.46,7.67,12,1,3872015
6991,33417,19149795524,2448776,0,1,4,30,1,9.05,7.06,15,0,3849433
5445,28043,9503617217,1083600,0,0,5,14,0,8.92,8.75,15,0,3842441
3511,18731,10813604500,1582446,0,1,12,30,1,9.13,7.21,18,0,3779553
3293,15605,4047948000,628496,0,1,9,4,1,8.9,8.3,15,0,3726134
9419,45843,14002506892,1688487,0,0,4,12,0,9.48,8.97,15,0,3653238
8263,47364,20798692201,2489351,0,0,6,6,0,9,7.29,15,0,3628858
5453,23511,10782397742,1339536,0,0,1,4,0,9.56,8.76,12,0,3616241
3102,11764,6671855365,830888,0,0,9,24,0,9.54,8.97,12,1,3610642
4835,20716,13388306604,1775132,0,0,2,24,1,9.69,9.16,15,0,3586523
3412,16259,5727272000,767136,0,0,10,12,0,9.26,9.06,12,0,3579666
4627,25538,11968482583,1483458,0,1,7,3,1,8.82,8.04,18,0,3562123
4902,21558,6042781740,710195,0,0,12,7,0,9.12,8.59,12,0,3504990
2391,12731,6828528500,880534,0,1,1,18,1,8.74,8.92,15,0,3450941
4107,20513,7060642100,895919,1,1,5,29,1,9.57,9,15,1,3450143
1351,3184,973070230,124413,0,0,8,13,0,9.59,9.02,15,0,3427464
4964,25835,8418523000,1182718,0,1,9,5,1,9.38,8.77,15,0,3423920
4893,21068,10623935500,1398859,0,1,7,14,1,8.99,6.99,18,1,3408144
4085,21604,7644114000,1051201,0,1,6,16,1,5.6,8.23,12,0,3385706
4954,28935,15507469500,1834887,0,0,5,24,0,9.55,8.15,12,0,3379762
3436,15301,5643714500,778233,0,0,12,5,0,9.62,9.15,15,0,3375735
5956,34414,13242511021,1592787,0,0,2,17,0,9.25,8.21,18,0,3317196
6382,29650,11724907953,1353938,0,0,12,17,0,9.02,7.78,12,0,3273879
6250,28757,11214582898,1373685,0,0,4,1,0,9.71,9.11,15,0,3247558
7472,40426,15689573324,1893341,0,1,7,2,0,7.34,7.71,15,0,3239371
4284,26033,10095851600,1080217,0,0,10,17,0,9.26,8.27,12,0,3227452
5939,29611,15778305000,1725038,0,0,5,19,0,9.56,8.1,12,0,3130046
3221,16989,5074171000,683656,0,1,7,20,1,8.1,7.87,15,0,3125069
5035,24898,13718769500,1956884,0,0,8,14,1,7.83,7.08,15,0,3119023
6410,27235,11749340309,1456921,0,1,7,13,0,8.8,8.33,12,0,3100113
2574,15536,6162409500,859800,0,1,1,28,1,9.56,9.06,12,0,3068544
2493,14220,5101790500,762887,0,1,6,11,1,9.02,8.43,15,1,3059812
9045,46497,14527856820,1738991,0,0,5,24,0,9.58,8.35,12,0,3045283
5921,32574,10047346919,1314836,0,1,3,25,1,9.04,7.66,15,0,3044134
4690,24630,9120064500,1194167,0,0,10,30,0,9.47,8.4,12,0,3039889
3263,17382,8081265000,1060004,0,1,6,2,1,8.4,7.33,18,0,3035116
4144,22280,10302603000,1535196,1,1,5,28,1,9.56,7.98,18,0,3013523
4462,21942,9978877638,1399479,0,1,7,18,0,8.79,8,15,1,3004647
4366,21122,13177983500,1914035,1,0,7,15,0,9.58,6.82,7,0,3002669
3001,15159,5264951000,712753,0,1,12,1,1,9.4,8.55,12,1,3001530
5156,24371,9910734909,1200197,0,1,7,23,0,9.75,8.93,7,0,3000056
6393,32088,9821049514,1244779,0,1,11,23,1,9.32,8.36,12,0,2982022
5916,28014,12915481199,1755206,0,1,11,14,1,7.54,6.24,18,0,2971475
3808,15620,7680226000,1057556,0,0,11,29,1,5.89,6.36,15,0,2963449
58,260,70071900,10053,0,0,1,15,1,9.29,8.69,7,0,2962897
3770,18290,6339186600,850022,0,1,7,20,1,6,8.63,15,2,2945137
8372,38467,15090506020,1836278,0,0,5,25,0,9.1,8.21,12,0,2938818
5787,28254,11253007073,1403262,0,1,3,23,1,9.08,7.62,18,0,2931897
3169,21838,11379086000,1523847,0,0,7,29,0,8.8,7.7,15,0,2921331
3144,16514,7338186000,1011893,0,1,12,22,1,9.15,8.86,12,0,2897477
2867,17610,8522850000,1273758,0,0,6,26,0,10,8.23,18,0,2867594
5553,30611,12441052447,1581758,0,1,6,18,1,8.75,8.08,15,2,2860786
4427,22042,10516439200,1340543,0,1,4,30,1,9.15,7.5,15,1,2841788
6289,33980,13408449500,1600127,0,0,9,3,0,8.93,8.61,12,0,2839921
6302,28825,12842864344,1505388,0,0,12,17,0,9.61,8.47,12,0,2836774
6516,26479,12740869566,1526907,0,0,12,13,0,9.72,8.42,12,0,2818993
4100,20117,7282025741,955577,0,0,9,18,0,9.38,8.09,12,0,2812427
4387,20681,9028532500,1277010,1,0,12,15,0,9.44,8.2,7,0,2809053
4937,19564,7752701500,964337,0,0,1,21,0,7.76,9.11,7,0,2801949
3129,17438,6858076500,932123,0,0,8,17,0,8.98,8.76,12,0,2773794
3268,17056,7379989000,965414,1,1,10,28,1,9.5,8.66,18,2,2766436
5243,25807,9622157297,1216675,0,0,9,16,0,9.38,8.08,12,0,2744413
6469,30188,14821560255,1712308,0,0,5,3,0,9.38,8.94,12,0,2735722
2326,11374,4281423000,564862,0,1,9,16,1,9.17,8.73,12,0,2731828
3826,25228,10057005500,1524754,0,0,7,2,0,9.54,7.32,12,0,2723518
3526,17236,6834304500,919822,0,1,11,8,1,9.04,8.49,18,0,2721903
4165,20603,10002900587,1425415,0,1,8,22,0,9.38,8.03,12,0,2718227
4623,17657,9249910292,1156013,0,0,9,28,0,9.55,8.46,12,1,2718158
2818,14332,9495373500,1418671,0,1,1,22,0,9.05,7.04,15,0,2713031
2557,16330,8302462500,1128405,0,1,8,6,0,8.82,7.65,15,1,2706748
4390,28007,10778474500,1297312,0,0,4,1,0,8.98,6.29,12,0,2685508
4247,21057,6390650500,903658,0,1,10,2,1,9.45,9.32,12,1,2663170
4342,22678,9915531500,1391754,0,1,11,15,0,9.48,8.71,15,0,2654817
4215,17751,10972089913,1389712,0,1,9,24,1,8.43,8.48,15,0,2625686
5029,18262,9507319878,1305936,0,0,7,29,0,9.4,7.94,7,0,2625572
3551,17642,7447788000,993432,0,1,6,6,1,7.3,6.79,18,0,2621436
5426,26529,15685673043,1926551,0,0,7,27,0,9.77,8.39,15,0,2611966
3601,19658,8764418500,876211,0,1,5,20,0,9.05,9.33,7,0,2603857
5990,26118,9327478598,1131367,0,0,7,6,0,9.65,8.52,7,0,2601734
3087,15688,4404828000,589071,0,1,3,31,1,8.85,6.69,12,0,2595625
8401,40723,16603728062,2106936,0,1,9,28,1,8.32,6.26,18,2,2594028
3738,19362,7486483300,1033320,0,1,10,22,1,8.83,6.68,7,0,2583294
6187,23992,13024729540,1607277,0,1,5,3,1,8.23,7.95,15,1,2570850
3811,19391,11709447348,1512484,0,1,12,24,1,8.84,7.14,15,0,2564340
6294,33100,13493976512,1688538,0,0,7,11,0,8.55,7.65,12,0,2539114
3444,17171,8106592500,1077529,0,0,6,2,0,8.78,9.05,12,0,2532306
5299,21973,8704721989,1016770,1,0,6,9,0,9.53,8.45,12,1,2532051
4563,14731,9131371970,1194255,0,0,8,3,0,9.48,8.58,7,0,2517805
6059,27331,11244842244,1398962,0,1,2,9,1,8.92,8.05,15,1,2512572
2645,12789,6941648000,957938,0,1,12,19,1,9.15,8.57,15,0,2471721
6338,21034,11629241235,1512787,0,1,5,3,0,9.39,8.67,7,0,2447241
3514,17471,7130942500,937323,0,0,3,8,1,9.34,7.9,15,0,2435211
3724,20380,9526007455,1281262,0,1,8,22,1,9.48,7.51,18,0,2434099
5903,28099,9840649508,1216362,0,0,2,15,1,9.31,8.5,15,0,2420729
3167,15534,6624801500,881384,0,1,9,29,1,9.35,8.01,15,1,2393086
5291,27036,10307940500,1384885,0,1,10,9,1,9.24,7.82,18,2,2391963
1565,10663,3329286000,491223,0,0,4,9,0,9.08,9.2,18,0,2379830
4706,21604,9155431000,1233349,0,0,10,26,0,9.13,7.85,15,0,2376145
3055,17386,11274641500,1482579,0,1,9,7,1,5.34,4.13,15,0,2363955
2523,13366,6420178500,822557,0,1,8,10,1,8.9,8.09,18,0,2362906
2956,17484,5332357500,798995,0,1,11,13,1,7.23,6.26,18,0,2325715
3469,16834,10928571500,1485098,0,1,12,29,1,8.83,6.26,12,0,2316099
4396,20796,7965819677,1012608,0,0,5,21,0,9.38,8.77,15,0,2315882
5575,21009,6685928892,852400,0,0,1,12,0,9.44,9.14,7,0,2310054
4301,24075,13438862553,1757167,0,0,9,27,0,9.59,6.98,18,0,2308596
3556,21010,8443575000,1123720,0,0,5,13,1,8.04,5.61,18,1,2304487
5327,21463,9388590500,1204444,0,0,12,12,0,9.72,8.48,12,0,2282744
2980,17251,5992101500,791832,0,0,6,24,0,8.85,8.35,15,0,2282191
3059,10300,6385204500,885761,0,0,9,17,0,8.01,7.85,15,0,2262758
3530,20239,9457897600,905646,0,1,7,1,0,8.97,8.03,7,0,2261356
2243,13602,5446461500,831855,0,1,10,9,0,9.26,7.96,12,1,2258369
10542,49092,13101288937,1562162,0,0,3,24,0,8.47,6.88,12,0,2256913
4276,21068,9123359500,1235503,0,0,4,11,0,8.98,7.48,12,0,2241687
2523,13099,6047641000,822130,0,0,12,21,0,9.24,8,15,1,2239156
3315,15940,9482294000,1403779,0,1,4,30,1,7.92,6.09,18,1,2237271
5054,28692,15109382500,1701683,0,1,8,4,1,6.56,3.34,15,0,2232179
2582,14509,6937494500,949285,0,0,12,23,0,8.87,8.19,12,1,2207751
3347,20571,6308275000,954863,0,0,11,5,0,9.4,7.07,15,0,2201300
1884,6173,3049197500,449923,0,1,7,28,1,9.15,8.88,7,1,2199048
5112,28638,8729107796,1097196,0,1,5,14,1,8.45,7.64,15,0,2192243
5248,21115,9534747493,1170998,0,1,1,21,1,9.31,7.13,18,0,2192172
2672,16122,7264051000,749570,0,0,3,4,0,9.5,7.51,7,1,2182365
6574,31444,11800850139,1496275,0,0,6,13,0,9.33,7.84,12,0,2182227
4146,17635,9494438500,1229781,1,0,12,22,1,8.97,7.78,18,2,2167426
3906,21990,8087501000,1099158,0,1,11,10,1,9.34,6.67,15,1,2164805
3183,18625,6139593000,834396,0,1,9,24,1,9.74,7.03,12,0,2160265
6615,29639,12458955998,1538416,0,0,5,31,0,8.49,7.75,12,0,2153110
4401,19370,8650852500,1162614,0,0,12,21,1,7.25,7.15,15,0,2142622
4113,20834,7004645470,889537,0,0,10,8,1,9.17,8.02,15,0,2135614
5338,25233,9776788255,1189001,0,0,5,17,0,8.22,8.22,15,0,2128574
11630,54312,16012378728,1927130,1,1,6,21,0,8.09,6.45,12,0,2125662
5132,23792,8641041815,1087879,0,1,6,29,1,9.39,8.1,15,1,2108273
3476,19587,9014989500,1243008,0,1,7,7,0,9.42,7.4,12,0,2105050
3457,16512,6117449500,851515,0,1,5,16,1,8.8,8.54,15,0,2095375
3709,19559,7830869100,1013891,0,1,2,27,0,9.45,8.59,15,0,2084457
5410,14500,8809910824,1079124,0,1,12,31,1,0,9.03,18,1,2083999
2838,14587,5478233000,708550,0,1,12,1,1,8.71,8.52,18,0,2080574
3214,16128,7102740000,810816,0,1,1,12,0,9.43,8.41,7,0,2080154
3396,17916,6807169253,878504,0,0,8,28,0,9.02,8.23,12,0,2078492
5330,24604,9098963065,1048097,0,0,3,1,0,9.1,9.04,18,0,2070084
2925,17804,6614541500,1002246,0,1,7,31,1,8.84,7.89,15,0,2058764
4343,19078,6634527456,866005,0,1,8,20,1,5.65,7.71,12,0,2053947
5837,25070,9718167242,1222411,0,1,7,6,1,8.82,7.72,12,0,2044564
5844,26418,10378611500,1355918,0,1,3,20,0,9.3,6.08,15,0,2026574
6138,21467,8436907688,1051720,0,0,1,14,0,8.61,7.79,15,0,2007180
3589,20196,8135136500,1105296,0,0,5,27,0,9.24,8.68,12,0,2003533
3252,20523,6441821500,1019850,0,0,6,4,0,9.56,7.48,7,0,2002526
3513,15331,5798051000,789913,0,1,1,22,1,9.07,8.64,15,1,1979311
3944,20000,11287081787,1343223,0,0,9,3,0,7.99,7.05,18,2,1971837
3404,18652,7135276500,991728,0,1,12,2,0,9.45,6.6,12,0,1949027
3286,16567,6367152500,963982,0,0,5,14,0,9.3,8.15,15,0,1936321
3922,13983,6174132289,764406,0,0,6,9,0,8.94,8.24,15,0,1926201
3527,10285,5252917500,760852,0,1,7,25,0,8.96,9.05,7,1,1923748
2352,13949,3346666500,456075,0,0,9,9,1,9.26,8.76,15,0,1922634
2483,14821,4603770500,683825,0,1,4,2,1,6,7.34,15,2,1914779
5171,22334,13446793130,1604094,0,0,8,3,0,7.69,7.03,15,0,1898121
4439,21402,9042815331,1137462,0,1,1,14,1,9.28,6.66,15,0,1891993
4109,13689,5253305000,714312,0,1,1,20,1,9.15,8.85,7,1,1888100
2196,12926,6724820500,932191,0,0,2,11,0,9.19,6.47,12,0,1877226
3510,21468,5735148000,758372,0,0,9,9,1,7.8,7.56,15,2,1873327
3617,18765,6215793207,838295,0,1,3,21,1,8.62,7.42,18,0,1865195
2849,12071,5274574000,735078,0,1,2,17,1,9.35,7.87,15,1,1864408
3563,17598,8695454900,1050699,0,0,1,1,0,8.9,7.87,15,0,1860934
3666,17040,5421380500,745222,0,1,5,3,1,8.41,8.55,12,0,1857392
5068,28178,8316365500,1049596,0,1,3,28,0,8.79,7.06,15,1,1855917
4870,22386,7000718465,994852,0,1,12,11,1,7.48,8.81,15,0,1854625
3266,14576,6579260500,858999,1,1,8,12,1,8.84,7.81,18,2,1848418
3725,18539,5887471116,781519,0,1,12,6,1,8.79,8.21,18,0,1823116
4725,21725,6317907912,809143,0,0,5,25,1,8.33,8.93,12,0,1820920
7381,33209,10578002980,1341081,0,0,11,11,0,9.21,7.04,15,0,1820842
2570,14346,5783436500,811787,0,1,7,15,1,8.25,7.58,12,0,1799356
2536,13448,7078515500,1057516,0,0,1,22,0,9.27,8.15,12,0,1798205
4369,20486,7284043542,979813,0,0,5,22,0,9.68,8.82,15,0,1790457
2795,15307,4662833500,695048,0,1,10,23,1,7.98,5.04,18,1,1788748
1984,8684,4062541000,620636,0,0,2,12,0,9.21,8.86,12,0,1767051
3828,21197,6732254681,965183,0,1,10,24,1,9,7.17,15,1,1766285
4343,16950,5413581404,697778,0,0,10,23,0,9.09,8.28,18,0,1764233
5451,23017,6356867234,832623,0,1,12,16,1,8.28,8.01,12,1,1762742
3027,13926,7787375500,835048,0,0,1,27,0,8.74,5.72,7,0,1762070
3484,11502,5864917201,738029,0,0,2,17,0,8.98,8.77,15,0,1743774
4794,19905,5528593500,743174,0,1,4,10,1,8.29,7.61,18,1,1737253
4297,21788,6502835358,834095,0,0,10,2,1,8.57,8.33,12,0,1735640
4483,13595,5268219989,669651,0,0,12,21,0,9.41,8.96,7,1,1729424
3851,18157,8614417000,1118733,0,1,2,29,1,9.45,6.66,15,1,1726202
2614,13092,4300713000,577469,0,1,3,22,0,9.51,9.33,12,0,1719772
2816,12140,4701105500,636335,0,1,1,27,1,8.19,7.77,12,1,1717566
5540,30638,9207387969,1063396,0,0,6,3,0,8.85,7.62,12,0,1714071
3778,17166,3992680000,566010,0,1,3,14,1,9.28,8.23,15,2,1713891
5126,25545,6384161060,811268,0,1,2,5,1,2.95,6.05,15,1,1707487
2845,15727,6020707500,911448,0,1,7,24,1,9.1,7.8,15,0,1706576
3248,17789,7884888500,786766,0,1,4,28,0,8.82,7.29,12,1,1694529
2920,16326,4184521000,561982,0,1,9,24,1,8.35,6.94,15,0,1690294
6174,30395,9470393443,1130104,0,0,3,8,0,8.45,7.78,12,1,1685933
2235,16102,5916707500,898886,0,0,2,14,0,9.32,6.91,15,1,1685405
4198,19197,7250490438,1049840,0,1,1,22,1,9.38,7.6,15,0,1676040
5510,22219,9590314500,1196144,0,0,2,22,0,8.65,7.67,15,0,1675798
3942,12393,7348017959,963060,0,1,12,31,0,9.63,8.68,7,0,1661230
3240,10379,5257731704,688276,0,0,7,25,0,9.63,8.28,7,0,1648070
3278,17482,6554525000,883370,0,0,8,29,1,9.59,7,18,1,1646142
1532,8782,1562956000,214468,1,1,2,17,1,9.62,9.34,15,0,1640351
6964,33993,7245880418,949997,0,1,4,26,1,8.62,7.76,12,0,1634403
1546,10067,3633105000,573672,0,0,8,7,1,8.69,6.82,15,0,1634051
2795,9045,4422351500,578600,0,1,6,6,0,9.05,9.03,7,0,1626704
1944,10974,4404577000,571320,0,0,2,24,0,9.32,8.66,18,0,1623199
2962,13680,4438899000,583236,0,0,4,20,0,9.46,8.97,15,0,1621973
2165,12936,4790355500,721715,0,1,1,10,1,10,7.56,15,1,1613728
3639,17734,4798096300,647748,0,0,3,13,1,9.58,8.34,12,0,1613392
3463,17504,6240546500,849131,0,1,2,16,1,8.73,6.79,15,1,1612554
4037,18857,7874985713,1028678,0,1,9,3,1,5.61,7.05,12,1,1611519
3458,15844,5325176000,641387,0,1,5,30,0,9.42,8.97,12,0,1605271
3520,16763,5219743000,708686,0,0,5,13,0,9.06,7.22,15,0,1596574
5137,24824,7189668475,940363,0,1,10,22,1,9.25,6.87,15,0,1593694
4731,26414,8322938100,976219,0,0,3,6,0,8.48,7.18,18,0,1593116
2710,12405,5982786500,644085,0,0,1,1,0,9.19,8.81,7,0,1588373
2581,15865,7403668000,1124143,0,0,12,24,0,8.85,4.6,12,0,1576333
3005,16038,6272617000,966606,0,1,7,10,0,7.68,6.79,15,0,1573621
2441,13501,5454400500,718902,0,1,9,16,1,7.54,5.61,15,0,1571432
1926,11853,3237922500,485416,0,0,1,31,1,8.02,7.99,12,0,1562486
2723,11323,2749022100,345069,0,1,3,12,0,9.38,8.77,15,0,1561815
3659,17781,5916419000,815053,0,1,10,18,1,9.93,7.66,15,1,1552055
2595,14370,6488102500,956040,0,1,1,22,1,6.52,5.88,15,0,1534911
2610,13845,3729787000,550115,0,1,2,12,1,9.2,8.57,15,0,1534407
2501,12512,3020059000,472271,0,1,12,17,0,9.51,8.19,7,0,1521842
4198,20823,5902923000,797931,0,0,4,11,0,9.3,8.22,15,0,1515356
4116,10813,6263076000,853018,0,0,12,24,0,9.43,8.59,7,0,1515104
5791,24278,7584640500,901996,0,0,12,3,0,9.04,7.08,12,0,1511145
2553,12093,3285964000,437246,0,1,12,21,1,9.43,8.93,12,0,1507084
